Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
62,62,2009-03-05,35-347,DAL,@,NOH,L (-16),1,36:30,4,11,.364,2,6,.333,3,3,1.000,0,5,5,2,3,0,2,2,13,10.0,-22
63,63,2009-03-07,35-349,DAL,,WAS,W (+16),1,38:11,2,8,.250,0,2,.000,0,0,,1,2,3,11,1,0,2,4,4,5.6,+21
64,64,2009-03-10,35-352,DAL,@,PHO,W (+5),1,35:40,4,8,.500,4,8,.500,0,0,,1,7,8,3,4,0,1,1,12,15.5,+4
65,65,2009-03-11,35-353,DAL,@,POR,W (+4),1,37:05,3,7,.429,0,2,.000,1,1,1.000,1,9,10,10,0,0,2,2,7,10.9,+1
66,66,2009-03-13,35-355,DAL,@,GSW,L (-9),1,37:48,8,16,.500,5,8,.625,0,0,,1,9,10,11,2,0,2,4,21,22.5,-6
67,67,2009-03-15,35-357,DAL,@,LAL,L (-7),1,45:34,3,11,.273,2,5,.400,1,2,.500,2,5,7,9,2,0,3,3,9,9.1,-9
68,68,2009-03-17,35-359,DAL,,DET,W (+2),1,29:32,1,6,.167,0,2,.000,0,0,,0,3,3,6,1,0,1,4,2,1.7,-3
69,69,2009-03-19,35-361,DAL,@,ATL,L (-8),1,39:14,2,8,.250,2,6,.333,2,2,1.000,1,7,8,6,4,0,3,0,8,11.2,+2
70,70,2009-03-20,35-362,DAL,@,IND,W (+2),1,39:16,3,8,.375,2,3,.667,2,2,1.000,0,9,9,5,3,1,2,0,10,13.5,+5
71,71,2009-03-25,36-002,DAL,,GSW,W (+22),1,31:08,1,4,.250,1,3,.333,0,0,,2,4,6,7,0,0,0,1,3,7.7,+13
72,,2009-03-27,36-004,DAL,,DEN,L (-2),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
73,72,2009-03-29,36-006,DAL,@,CLE,L (-28),1,36:32,3,7,.429,2,3,.667,1,1,1.000,1,6,7,8,0,1,2,1,9,11.7,-20
74,73,2009-03-31,36-008,DAL,@,MIN,W (+20),1,27:12,3,6,.500,2,4,.500,0,0,,0,1,1,13,1,0,2,2,8,12.6,+8
75,74,2009-04-01,36-009,DAL,,MIA,W (+2),1,38:19,1,5,.200,1,5,.200,0,0,,0,4,4,11,1,0,3,4,3,5.2,0
76,75,2009-04-03,36-011,DAL,@,MEM,L (-5),1,36:32,3,9,.333,2,5,.400,1,2,.500,2,3,5,10,1,0,2,3,9,10.6,-11
77,76,2009-04-05,36-013,DAL,,PHO,W (+24),1,30:12,6,8,.750,3,4,.750,4,4,1.000,0,4,4,20,1,0,2,3,19,28.8,+29
78,77,2009-04-08,36-016,DAL,,UTA,W (+29),1,28:22,2,3,.667,1,2,.500,0,0,,0,6,6,10,0,0,2,2,5,9.7,+19
79,78,2009-04-10,36-018,DAL,,NOH,W (+8),1,36:04,0,6,.000,0,5,.000,3,4,.750,2,5,7,15,1,0,4,1,3,8.4,-1
80,79,2009-04-12,36-020,DAL,@,NOH,L (-10),1,38:46,3,13,.231,2,7,.286,0,0,,3,1,4,6,1,2,1,3,8,6.9,-16
81,80,2009-04-13,36-021,DAL,,MIN,W (+2),1,38:16,1,5,.200,1,3,.333,3,4,.750,1,5,6,8,1,0,2,2,6,8.5,+12
