Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
59,59,1998-03-04,30-280,CHH,,MIN,W (+10),1,42:53,4,13,.308,2,4,.500,12,12,1.000,3,0,3,1,0,0,3,3,22,13.1,+5
60,60,1998-03-06,30-282,CHH,,SEA,W (+6),1,43:42,9,16,.563,1,2,.500,10,11,.909,0,2,2,3,0,0,2,3,29,20.5,0
61,61,1998-03-08,30-284,CHH,@,NJN,W (+9),1,41:39,10,20,.500,4,7,.571,7,7,1.000,0,5,5,3,0,1,1,1,31,23.9,+14
62,62,1998-03-11,30-287,CHH,,NYK,W (+7),1,41:38,7,17,.412,2,3,.667,6,6,1.000,1,6,7,1,0,1,2,3,22,13.6,+9
63,63,1998-03-13,30-289,CHH,@,ORL,W (+18),1,39:15,11,17,.647,0,1,.000,2,2,1.000,0,5,5,5,0,2,0,3,24,21.7,+14
64,64,1998-03-14,30-290,CHH,,WAS,L (-3),1,44:00,12,22,.545,2,3,.667,1,1,1.000,1,2,3,0,0,0,3,3,27,13.5,+4
65,65,1998-03-16,30-292,CHH,,DEN,W (+22),1,28:41,4,9,.444,0,2,.000,9,10,.900,0,1,1,1,0,0,1,1,17,11.5,+10
66,66,1998-03-18,30-294,CHH,,UTA,W (+26),1,36:08,11,15,.733,2,3,.667,2,4,.500,0,4,4,4,0,1,3,2,26,20.0,+14
67,67,1998-03-20,30-296,CHH,@,SAS,W (+10),1,43:23,4,11,.364,1,2,.500,5,6,.833,0,1,1,2,1,0,6,4,14,2.6,+14
68,68,1998-03-24,30-300,CHH,@,TOR,W (+17),1,36:38,10,19,.526,2,4,.500,2,4,.500,2,5,7,2,0,1,2,1,24,16.5,+12
69,69,1998-03-26,30-302,CHH,,MIL,W (+14),1,41:07,8,14,.571,3,3,1.000,8,11,.727,0,5,5,3,1,0,1,3,27,21.6,+9
70,70,1998-03-27,30-303,CHH,@,IND,L (-37),1,29:30,1,11,.091,0,4,.000,4,5,.800,0,4,4,0,0,0,1,3,6,-2.7,-20
71,71,1998-03-29,30-305,CHH,@,CLE,L (-15),1,35:17,5,13,.385,3,4,.750,2,2,1.000,1,4,5,3,0,2,3,0,15,10.3,-14
72,72,1998-03-31,30-307,CHH,,PHI,W (+8),1,45:27,10,18,.556,3,7,.429,3,6,.500,0,2,2,4,0,1,1,1,26,18.9,+10
73,73,1998-04-03,30-310,CHH,,IND,W (+7),1,46:13,8,18,.444,2,6,.333,2,5,.400,1,1,2,1,0,0,3,3,20,6.9,+17
74,74,1998-04-04,30-311,CHH,@,MIA,L (-13),1,26:41,1,6,.167,0,1,.000,0,0,,0,1,1,2,0,1,2,1,2,-1.8,-34
75,75,1998-04-06,30-313,CHH,@,NJN,L (-10),1,40:52,9,17,.529,3,6,.500,8,8,1.000,4,6,10,3,0,0,3,2,29,23.6,-3
76,76,1998-04-08,30-315,CHH,@,PHI,L (-8),1,36:51,8,18,.444,1,4,.250,2,3,.667,1,2,3,5,2,0,1,3,19,13.8,+5
77,77,1998-04-10,30-317,CHH,,ATL,L (-12),1,45:16,3,10,.300,1,2,.500,10,11,.909,1,8,9,2,0,0,2,2,17,12.5,-9
78,78,1998-04-12,30-319,CHH,,DET,W (+2),1,42:17,5,13,.385,0,1,.000,3,3,1.000,3,1,4,2,0,0,0,3,13,8.5,+2
79,79,1998-04-14,30-321,CHH,@,MIL,W (+22),1,31:25,10,17,.588,3,3,1.000,7,8,.875,0,2,2,0,0,0,2,2,30,19.5,+19
80,80,1998-04-15,30-322,CHH,,NJN,W (+6),1,38:24,8,18,.444,1,3,.333,4,6,.667,3,2,5,3,1,1,1,3,21,15.1,+4
81,81,1998-04-17,30-324,CHH,@,ATL,L (-17),1,38:21,11,19,.579,4,6,.667,4,5,.800,2,2,4,3,1,0,3,2,30,22.0,-26
82,82,1998-04-19,30-326,CHH,,ORL,W (+13),1,39:08,11,25,.440,0,4,.000,4,4,1.000,2,2,4,4,2,0,2,2,26,16.9,+17
1,,1999-03-10,31-286,LAL,,LAC,W (+19),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2,1,1999-03-12,31-288,LAL,,GSW,W (+11),0,26:52,8,21,.381,0,4,.000,5,8,.625,0,2,2,0,0,0,2,2,21,6.1,-1
3,2,1999-03-14,31-290,LAL,@,SAC,L (-4),0,29:03,4,12,.333,1,4,.250,0,0,,0,4,4,3,0,0,0,2,9,4.7,-10
4,3,1999-03-16,31-292,LAL,@,MIN,W (+6),1,38:06,8,17,.471,4,10,.400,2,2,1.000,0,4,4,2,0,1,1,2,22,14.8,+4
5,4,1999-03-18,31-294,LAL,@,CLE,L (-7),1,39:37,9,21,.429,3,7,.429,3,3,1.000,0,6,6,5,2,0,1,2,24,18.4,0
6,5,1999-03-19,31-295,LAL,@,PHI,L (-15),1,37:50,5,15,.333,4,7,.571,3,4,.750,0,5,5,3,0,0,2,1,17,9.3,-16
