Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
40,40,1999-04-18,38-255,SEA,@,PHO,L (-6),0,18:35,2,4,.500,1,2,.500,0,0,,2,1,3,2,0,0,0,2,5,5.3,-4
41,41,1999-04-19,38-256,SEA,@,HOU,L (-7),0,24:17,9,12,.750,4,6,.667,0,0,,1,0,1,0,0,0,1,1,22,16.5,+6
42,42,1999-04-21,38-258,SEA,,MIN,W (+14),0,19:59,1,7,.143,1,4,.250,0,0,,0,3,3,0,0,0,0,1,3,-1.0,+9
43,43,1999-04-23,38-260,SEA,@,VAN,W (+13),0,15:46,2,7,.286,0,3,.000,1,2,.500,1,3,4,0,1,0,0,0,5,3.1,-2
44,44,1999-04-25,38-262,SEA,@,UTA,L (-17),0,26:56,4,6,.667,2,3,.667,0,0,,0,2,2,0,2,0,1,3,10,7.8,-10
45,45,1999-04-27,38-264,SEA,,UTA,W (+5),0,26:50,2,8,.250,0,4,.000,0,2,.000,0,1,1,0,0,0,0,1,4,-1.7,-5
46,46,1999-04-28,38-265,SEA,@,POR,L (-35),0,32:45,5,6,.833,3,3,1.000,0,0,,0,1,1,0,0,0,5,2,13,5.3,-11
47,47,1999-04-30,38-267,SEA,,DEN,W (+10),0,30:51,5,8,.625,3,5,.600,0,0,,0,2,2,0,1,0,2,1,13,8.6,0
48,48,1999-05-02,38-269,SEA,,LAL,L (-7),0,33:33,2,9,.222,1,5,.200,0,0,,1,5,6,0,1,0,1,6,5,-0.7,+4
49,,1999-05-04,38-271,SEA,,DAL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1,1999-11-02,39-088,MIL,@,HOU,W (+5),0,17:22,2,6,.333,1,3,.333,0,0,,1,2,3,1,0,0,0,0,5,3.6,-2
2,2,1999-11-04,39-090,MIL,@,ATL,W (+10),0,17:08,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,0,1,2,5,0.5,+10
3,3,1999-11-06,39-092,MIL,,DET,W (+10),0,28:35,5,8,.625,2,4,.500,1,2,.500,0,5,5,0,3,0,1,1,13,12.1,+19
4,4,1999-11-08,39-094,MIL,@,NYK,L (-10),0,21:21,3,6,.500,2,4,.500,4,4,1.000,0,3,3,0,1,0,1,2,12,9.1,+3
5,5,1999-11-10,39-096,MIL,@,CHH,L (-6),0,17:11,3,4,.750,3,4,.750,0,0,,1,1,2,0,0,0,0,1,9,8.0,+1
6,6,1999-11-12,39-098,MIL,,PHO,W (+15),0,17:46,2,5,.400,1,4,.250,0,0,,1,2,3,0,0,0,0,1,5,3.2,+5
7,7,1999-11-13,39-099,MIL,@,CLE,L (-5),0,14:40,2,9,.222,1,6,.167,0,1,.000,1,1,2,1,0,0,0,1,5,0.4,-5
8,,1999-11-16,39-102,MIL,,LAC,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8,1999-11-18,39-104,MIL,,SAS,W (+11),0,19:48,5,8,.625,3,6,.500,0,0,,1,1,2,0,0,0,1,1,13,9.0,+14
10,9,1999-11-20,39-106,MIL,,UTA,L (-11),0,20:24,4,7,.571,0,2,.000,0,1,.000,0,1,1,0,0,0,0,3,8,3.4,-9
11,10,1999-11-21,39-107,MIL,@,DET,L (-19),0,15:15,2,4,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,3,5,2.1,-16
12,11,1999-11-24,39-110,MIL,,CHI,W (+7),0,24:00,7,12,.583,3,6,.500,0,0,,1,0,1,0,0,0,1,1,17,10.7,+13
13,12,1999-11-26,39-112,MIL,@,BOS,W (+2),0,19:37,1,2,.500,0,1,.000,0,0,,1,5,6,0,1,0,1,2,2,2.4,+11
14,13,1999-11-27,39-113,MIL,,PHI,L (-3),0,17:31,2,5,.400,1,4,.250,0,0,,0,2,2,0,0,0,1,2,5,1.1,+5
15,14,1999-12-02,39-118,MIL,,NYK,L (-4),0,23:17,1,7,.143,0,6,.000,0,0,,0,0,0,2,0,0,0,1,2,-1.5,+3
16,15,1999-12-04,39-120,MIL,@,CHI,W (+1),0,6:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+6
17,,1999-12-05,39-121,MIL,,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,1999-12-07,39-123,MIL,,DET,L (-4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
19,,1999-12-08,39-124,MIL,@,NJN,L (-17),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
