Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33,29,2001-01-02,29-074,MIA,@,SAS,L (-8),1,37:44,8,19,.421,2,5,.400,0,0,,2,1,3,4,3,1,2,5,18,12.1,-3
34,30,2001-01-04,29-076,MIA,,NJN,W (+3),1,41:29,5,14,.357,1,6,.167,3,4,.750,4,1,5,3,3,3,0,2,14,15.3,+7
35,31,2001-01-06,29-078,MIA,,BOS,W (+26),1,24:28,6,10,.600,1,2,.500,2,2,1.000,1,0,1,2,1,1,2,3,15,11.0,+24
36,32,2001-01-08,29-080,MIA,,GSW,W (+10),1,41:01,5,12,.417,2,4,.500,0,0,,0,3,3,5,0,2,0,2,12,10.6,+7
37,33,2001-01-10,29-082,MIA,@,BOS,L (-12),1,34:19,6,16,.375,2,7,.286,6,6,1.000,1,7,8,3,3,0,1,3,20,16.9,-9
38,34,2001-01-13,29-085,MIA,@,IND,L (-16),1,41:29,5,14,.357,1,3,.333,0,0,,0,2,2,0,2,0,5,2,11,0.0,-8
39,35,2001-01-14,29-086,MIA,,CHI,W (+9),1,37:53,8,18,.444,0,2,.000,4,4,1.000,2,5,7,3,1,0,2,4,20,13.0,+19
40,36,2001-01-16,29-088,MIA,,DET,W (+8),1,39:36,2,11,.182,0,4,.000,7,8,.875,1,7,8,4,2,0,5,3,11,5.1,+8
41,37,2001-01-18,29-090,MIA,@,POR,L (-11),1,36:52,5,9,.556,2,3,.667,8,10,.800,0,8,8,3,3,1,2,4,20,19.5,-8
42,38,2001-01-19,29-091,MIA,@,VAN,W (+11),1,35:51,10,19,.526,1,4,.250,5,5,1.000,1,6,7,3,3,0,2,1,26,21.9,+8
43,39,2001-01-21,29-093,MIA,@,LAL,W (+11),1,43:10,8,21,.381,3,7,.429,7,8,.875,2,6,8,1,2,1,4,4,26,15.1,+13
44,40,2001-01-24,29-096,MIA,,TOR,W (+20),1,36:41,9,20,.450,0,3,.000,0,0,,1,3,4,4,2,1,4,1,18,10.3,+8
45,41,2001-01-27,29-099,MIA,@,ORL,W (+22),1,30:25,6,13,.462,2,4,.500,1,2,.500,0,6,6,0,1,0,6,3,15,3.5,+7
46,42,2001-01-30,29-102,MIA,@,HOU,W (+18),1,39:34,6,11,.545,0,1,.000,2,2,1.000,3,4,7,5,1,3,0,2,14,17.8,+10
47,43,2001-02-01,29-104,MIA,@,DAL,L (-4),1,40:33,5,16,.313,2,4,.500,1,2,.500,1,2,3,4,0,1,3,1,13,4.8,-6
48,44,2001-02-02,29-105,MIA,@,ATL,W (+11),1,41:33,7,14,.500,2,2,1.000,8,8,1.000,6,6,12,5,3,0,3,1,24,26.1,+6
