Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
35,35,1998-01-14,32-143,IND,,DET,W (+7),1,36:51,9,17,.529,3,11,.273,4,5,.800,0,4,4,1,2,0,2,3,25,17.0,+12
36,36,1998-01-16,32-145,IND,,SAC,W (+25),1,21:20,2,5,.400,1,2,.500,4,4,1.000,1,2,3,4,0,0,0,4,9,8.8,+7
37,37,1998-01-18,32-147,IND,@,BOS,W (+7),1,38:31,6,14,.429,2,5,.400,6,8,.750,0,4,4,0,1,0,2,1,20,11.6,+11
38,38,1998-01-21,32-150,IND,@,NYK,L (-8),1,40:09,6,12,.500,3,7,.429,6,8,.750,0,2,2,0,1,0,4,2,21,11.0,-5
39,39,1998-01-23,32-152,IND,,UTA,W (+4),1,39:59,10,17,.588,2,5,.400,0,0,,2,3,5,1,1,0,1,1,22,16.7,+9
40,40,1998-01-24,32-153,IND,,BOS,W (+7),1,34:55,9,15,.600,2,6,.333,12,15,.800,0,5,5,1,1,0,1,2,32,25.3,+7
41,41,1998-01-27,32-156,IND,,WAS,W (+1),1,36:51,7,13,.538,1,3,.333,5,5,1.000,1,6,7,3,1,0,5,1,20,13.9,-3
42,42,1998-01-28,32-157,IND,@,PHI,W (+3),1,37:58,4,16,.250,1,10,.100,6,6,1.000,0,2,2,1,0,0,0,2,15,5.9,+5
43,43,1998-01-30,32-159,IND,,CLE,W (+6),1,36:53,9,18,.500,3,5,.600,3,4,.750,0,3,3,4,3,0,1,1,24,19.9,+11
44,44,1998-02-01,32-161,IND,@,LAC,W (+7),1,32:35,8,15,.533,1,4,.250,3,3,1.000,0,2,2,1,1,0,3,2,20,11.2,+6
45,45,1998-02-03,32-163,IND,@,SAC,W (+22),1,25:52,5,11,.455,1,4,.250,4,4,1.000,0,3,3,3,3,0,1,3,15,13.1,+16
46,46,1998-02-04,32-164,IND,@,SEA,L (-7),1,40:17,7,12,.583,6,8,.750,5,6,.833,0,3,3,1,0,0,0,1,25,20.2,-1
47,47,1998-02-10,32-170,IND,,ORL,W (+19),1,29:07,7,15,.467,2,7,.286,0,0,,0,3,3,0,1,0,2,1,16,7.8,+14
48,48,1998-02-11,32-171,IND,@,MIA,W (+9),1,42:54,8,16,.500,4,4,1.000,10,10,1.000,1,3,4,2,0,0,2,0,30,23.0,+6
49,49,1998-02-13,32-173,IND,,DAL,L (-3),1,42:09,5,13,.385,0,4,.000,0,0,,0,4,4,3,2,0,4,2,10,3.4,-7
50,50,1998-02-14,32-174,IND,@,ATL,W (+4),1,36:19,9,17,.529,3,6,.500,10,11,.909,2,2,4,1,0,1,2,1,31,23.3,+5
51,51,1998-02-17,32-177,IND,@,CHI,L (-8),1,38:12,12,19,.632,7,9,.778,3,5,.600,0,0,0,1,0,1,3,3,34,21.9,+9
52,52,1998-02-19,32-179,IND,,PHI,W (+5),1,31:21,4,10,.400,1,1,1.000,3,4,.750,0,2,2,1,1,0,1,0,12,7.5,-3
53,53,1998-02-20,32-180,IND,@,ORL,L (-2),1,37:40,8,17,.471,3,9,.333,2,4,.500,0,1,1,2,2,0,0,2,21,14.4,+2
54,54,1998-02-22,32-182,IND,@,PHI,W (+5),1,38:36,9,18,.500,4,9,.444,3,4,.750,0,3,3,4,0,1,2,1,25,17.6,+14
55,55,1998-02-25,32-185,IND,,LAL,L (-7),1,39:05,4,17,.235,1,6,.167,3,3,1.000,1,2,3,2,0,0,1,3,12,2.2,0
56,56,1998-02-27,32-187,IND,,POR,W (+65),1,28:43,5,10,.500,1,2,.500,0,0,,2,3,5,4,2,0,0,2,11,12.3,+37
57,57,1998-03-01,32-189,IND,,DEN,W (+27),1,30:01,5,9,.556,1,5,.200,0,0,,0,3,3,2,1,0,0,2,11,9.2,+32
58,58,1998-03-03,32-191,IND,@,VAN,W (+8),1,31:58,6,11,.545,3,6,.500,5,5,1.000,0,0,0,1,2,1,1,2,20,16.3,-6
59,59,1998-03-04,32-192,IND,@,LAL,L (-9),1,36:40,9,15,.600,2,4,.500,4,5,.800,2,0,2,2,0,0,2,4,24,15.9,-7
60,60,1998-03-06,32-194,IND,@,GSW,W (+14),1,33:02,8,15,.533,3,4,.750,0,0,,2,2,4,1,0,0,1,2,19,12.6,+3
61,61,1998-03-08,32-196,IND,,BOS,W (+4),1,37:34,8,16,.500,2,4,.500,7,7,1.000,1,2,3,2,3,0,1,0,25,21.7,+15
